# sepal_length sepal_width petal_length petal_width class
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
S M S M Iris-setosa
L M M M Iris-setosa
M L M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M S M Iris-setosa
M M M L Iris-setosa
M M L M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M L M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M S M M Iris-setosa
M M M M Iris-setosa
M M M L Iris-setosa
M M L M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
M M M M Iris-setosa
L M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
S M S M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M S M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M L Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M L M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M S M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-versicolor
M M S M Iris-versicolor
M M M M Iris-versicolor
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
S M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M L L M Iris-virginica
M M L M Iris-virginica
M S M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M L M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
L L M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M S Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
M M M M Iris-virginica
